,Patient,Concentration,Culture,Replicate,Treatment,Plate,S_phase
106,109,0,PDOF,AA,DMSO,SLV,0.8027598606632944
107,109,0,PDOF,A,DMSO,SLV,0.8903138678944857
108,109,0,PDOF,BB,DMSO,SLV,1.1694892616617762
109,109,0,PDOF,B,DMSO,SLV,1.268283787559896
110,109,0,PDOF,CC,DMSO,SLV,1.0229017275330248
111,109,0,PDOF,C,DMSO,SLV,0.846251494687523
112,109,4,PDOF,A,S,SLV,0.22024611025137564
113,109,4,PDOF,B,S,SLV,0.21201774743438936
114,109,4,PDOF,C,S,SLV,0.15482604656651178
115,109,0,PDO,AA,DMSO,SLV,0.8002494312961156
116,109,0,PDO,A,DMSO,SLV,1.0046295700433803
117,109,0,PDO,BB,DMSO,SLV,0.9740640002022938
118,109,0,PDO,B,DMSO,SLV,1.0327527477344822
119,109,0,PDO,CC,DMSO,SLV,1.0089870595036643
120,109,0,PDO,C,DMSO,SLV,1.1793171912200644
121,109,4,PDO,A,S,SLV,0.33206109390236854
122,109,4,PDO,B,S,SLV,0.482359869459634
123,109,4,PDO,C,S,SLV,0.31372423014896555
124,216,0,PDOF,AA,DMSO,SLV,1.0984928620505492
125,216,0,PDOF,A,DMSO,SLV,1.1554443641506977
126,216,0,PDOF,BB,DMSO,SLV,0.7920359803528588
127,216,0,PDOF,B,DMSO,SLV,0.8542087038691584
128,216,0,PDOF,CC,DMSO,SLV,1.154374856195989
129,216,0,PDOF,C,DMSO,SLV,0.9454432333807468
130,216,4,PDOF,A,S,SLV,1.4024082850478845
131,216,4,PDOF,B,S,SLV,0.7925208546346244
132,216,4,PDOF,C,S,SLV,1.0963993420120983
133,216,0,PDO,AA,DMSO,SLV,0.6606478308162946
134,216,0,PDO,A,DMSO,SLV,0.9412658821079043
135,216,0,PDO,BB,DMSO,SLV,1.3335517610541543
136,216,0,PDO,B,DMSO,SLV,0.9975980560062828
137,216,0,PDO,CC,DMSO,SLV,1.0641613630713893
138,216,0,PDO,C,DMSO,SLV,1.0027751069439756
139,216,4,PDO,A,S,SLV,0.6412797984390506
140,216,4,PDO,B,S,SLV,0.532724275563987
141,216,4,PDO,C,S,SLV,0.3515069874967335
142,99,0,PDOF,AA,DMSO,SLV,0.9091336851537382
143,99,0,PDOF,A,DMSO,SLV,0.9103865513377762
144,99,0,PDOF,BB,DMSO,SLV,1.0925061863002004
145,99,0,PDOF,B,DMSO,SLV,1.0576215128992421
146,99,0,PDOF,CC,DMSO,SLV,1.0399226832217472
147,99,0,PDOF,C,DMSO,SLV,0.9904293810872964
148,99,4,PDOF,A,S,SLV,0.3212488428763684
149,99,4,PDOF,B,S,SLV,0.2096197741827772
150,99,4,PDOF,C,S,SLV,0.319332394909758
151,99,0,PDO,AA,DMSO,SLV,1.1622157901411045
152,99,0,PDO,A,DMSO,SLV,1.0279779736743802
153,99,0,PDO,BB,DMSO,SLV,0.9236244094708181
154,99,0,PDO,B,DMSO,SLV,0.9981307351859783
155,99,0,PDO,CC,DMSO,SLV,0.9916122273120873
156,99,0,PDO,C,DMSO,SLV,0.8964388642156322
157,99,4,PDO,A,S,SLV,0.43691824345672564
158,99,4,PDO,B,S,SLV,0.5573292435217017
159,99,4,PDO,C,S,SLV,0.5541385496361776
160,11,0,PDOF,AA,DMSO,SLV,1.3923675331317962
161,11,0,PDOF,A,DMSO,SLV,1.2451155753352634
162,11,0,PDOF,BB,DMSO,SLV,0.21661235102175636
163,11,0,PDOF,B,DMSO,SLV,1.6303543672333314
164,11,0,PDOF,CC,DMSO,SLV,0.12095738438978146
165,11,0,PDOF,C,DMSO,SLV,1.3945927888880716
166,11,4,PDOF,A,S,SLV,0.365885181350962
167,11,4,PDOF,B,S,SLV,0.3252166559972732
168,11,4,PDOF,C,S,SLV,0.30895265385629733
169,11,0,PDO,AA,DMSO,SLV,1.2258705910019514
170,11,0,PDO,A,DMSO,SLV,1.86089886403258
171,11,0,PDO,BB,DMSO,SLV,0.055766448884748715
172,11,0,PDO,B,DMSO,SLV,1.518258102443277
173,11,0,PDO,CC,DMSO,SLV,0.044306972711015524
174,11,0,PDO,C,DMSO,SLV,1.2948990209264275
175,11,4,PDO,A,S,SLV,1.8870760694104287
176,11,4,PDO,B,S,SLV,1.0560614961448151
177,11,4,PDO,C,S,SLV,1.5200322866120686
